Name,Link,Likes,Downloads,Dataset Tasks,Modality,Last Modified,Date Last Accessed,,,
prithivMLmods/OpenWeb888K,https://huggingface.co/datasets/prithivMLmods/OpenWeb888K,7,159,summarization,"tabular, text",06/02/2025 00:00:00,14/02/2025 00:00:00,,,
prithivMLmods/OpenWeb888K,https://huggingface.co/datasets/prithivMLmods/OpenWeb888K,7,159,text2text-generation,"tabular, text",06/02/2025 00:00:00,14/02/2025 00:00:00,,,
prithivMLmods/OpenWeb1M,https://huggingface.co/datasets/prithivMLmods/OpenWeb1M,7,50,text-generation,"tabular, text",06/02/2025 00:00:00,14/02/2025 00:00:00,,,
prithivMLmods/OpenWeb1M,https://huggingface.co/datasets/prithivMLmods/OpenWeb1M,7,50,summarization,"tabular, text",06/02/2025 00:00:00,14/02/2025 00:00:00,,,
prithivMLmods/OpenWeb1M,https://huggingface.co/datasets/prithivMLmods/OpenWeb1M,7,50,text2text-generation,"tabular, text",06/02/2025 00:00:00,14/02/2025 00:00:00,,,
shareAI/Alpaca-Distill-R1-ZH,https://huggingface.co/datasets/shareAI/Alpaca-Distill-R1-ZH,6,142,Unknown,text,06/02/2025 00:00:00,14/02/2025 00:00:00,,,
TsinghuaC3I/MedXpertQA,https://huggingface.co/datasets/TsinghuaC3I/MedXpertQA,6,92,question-answering,"image, text",09/02/2025 00:00:00,14/02/2025 00:00:00,,,
TsinghuaC3I/MedXpertQA,https://huggingface.co/datasets/TsinghuaC3I/MedXpertQA,6,92,text-generation,"image, text",09/02/2025 00:00:00,14/02/2025 00:00:00,,,
cais/mmlu,https://huggingface.co/datasets/cais/mmlu,388,134241,question-answering,text,08/03/2024 00:00:00,14/02/2025 00:00:00,,,
pile-of-law/pile-of-law,https://huggingface.co/datasets/pile-of-law/pile-of-law,226,2301,fill-mask,Unknown,08/01/2023 00:00:00,14/02/2025 00:00:00,,,
